taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8107814	Inoceramus lamarckii Parkinson, 1819	8107814	Inoceramus lamarckii Parkinson, 1819	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Myalinida	9267240	Inoceramidae	4592617	Inoceramus	7234816	Inoceramus lamarckii	8107814	
8533589	Plecia curtula (Handlirsch, 1910)	8533589	Plecia curtula (Handlirsch, 1910)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia curtula	8533589	
4582887	Vauxia Walcott, 1920	4582887	Vauxia Walcott, 1920	30	GENUS	ACCEPTED	Animalia	1	Porifera	105					Vauxiidae	4582886	Vauxia	4582887			
4898132	Hepaticites J.Walton	4898132	Hepaticites J.Walton	3	GENUS	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Radulaceae	2266	Hepaticites	4898132			
5931971	Arctoceras blomstrandi (Lindström, 1865)	5931971	Arctoceras blomstrandi (Lindström, 1865)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Ammonoidea	9559185	Arctoceratidae	4625754	Arctoceras	3248689	Arctoceras blomstrandi	5931971	
8514552	Metanephrocerus belgardeae Archibald, Kehlmaier & Mathewes, 2014	8514552	Metanephrocerus belgardeae Archibald, Kehlmaier & Mathewes, 2014	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Pipunculidae	5583	Metanephrocerus	4795202	Metanephrocerus belgardeae	8514552	
8561513	Dunveganoceras parvum Cobban, 1953	8561513	Dunveganoceras parvum Cobban, 1953	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Chaetocerotales	1096	Acanthocerataceae	2918	Dunveganoceras	4626928	Dunveganoceras parvum	8561513	
8623372	Basslerella reticulata Shi, 1987	8623372	Basslerella reticulata Shi, 1987	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Podocopida	1438	Cytherideidae	9261	Basslerella	3254930	Basslerella reticulata	8623372	
2877951	Quercus L.	2877951	Quercus L.	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951			
4635446	Wilbernia pero (Walcott, 1890)	4635446	Wilbernia pero (Walcott, 1890)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Asaphida	9573072	Idahoiidae	4635444	Wilbernia	4635445	Wilbernia pero	4635446	
8491965	Scaphites leei (Reeside, 1927)	8491965	Scaphites leei (Reeside, 1927)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Ammonoidea	9559185	Scaphitidae	3245935	Scaphites	3245936	Scaphites leei	8491965	
8661737	Adamsochrysa aspera Makarkin & Archibald, 2013	8661737	Adamsochrysa aspera Makarkin & Archibald, 2013	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Neuroptera	1501	Chrysopidae	9265	Adamsochrysa	8530986	Adamsochrysa aspera	8661737	
8687671	Plecia platyptera (Handlirsch, 1910)	8687671	Plecia platyptera (Handlirsch, 1910)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia platyptera	8687671	
4966240	Gorgosaurus libratus Lambe, 1914	4966240	Gorgosaurus libratus Lambe, 1914	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358			Tyrannosauridae	4822619	Gorgosaurus	4822628	Gorgosaurus libratus	4966240	
8561929	Halictus savenyei Engel & Archibald, 2003	8561929	Halictus savenyei Engel & Archibald, 2003	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Halictus	1347978	Halictus savenyei	8561929	
509	Terebratulida	509	Terebratulida	1	ORDER	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210	Terebratulida	509							
3267118	Lachnostoma Ross, 1951	3267118	Lachnostoma Ross, 1951	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Asaphida	9573072	Asaphidae	3267117	Lachnostoma	3267118			
4633952	Chancia Walcott, 1924	4633952	Chancia Walcott, 1924	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Ptychopariida	9583276	Alokistocaridae	3266866	Chancia	4633952			
3252274	Martinia M'Coy, 1844	3252274	Martinia M'Coy, 1844	1	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Martiniidae	3252272	Martinia	3252274			
4867724	Cleiothyridina Buckman, 1906	4867724	Cleiothyridina Buckman, 1906	23	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Athyrididae	3252335	Cleiothyridina	4867724			
8454845	Plecia canadensis (Handlirsch, 1910)	8454845	Plecia canadensis (Handlirsch, 1910)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Bibionidae	7281	Plecia	1590132	Plecia canadensis	8454845	
8467005	Fieldospongia bellilineata (Walcott, 1920)	8934357	Tuponia bellilineata (Walcott, 1920)	3	SPECIES	SYNONYM	Animalia	1	Porifera	105					Haplistiidae	4582544	Fieldospongia	4582548	Tuponia bellilineata	8934357	
8500254	Wapkia grandis Walcott, 1920	8500254	Wapkia grandis Walcott, 1920	10	SPECIES	ACCEPTED	Animalia	1	Porifera	105					Wapkiidae	4582538	Wapkia	4582539	Wapkia grandis	8500254	
4864331	Lingulella Salter, 1866	4864331	Lingulella Salter, 1866	39	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Lingulata	209	Lingulida	1440	Obolidae	3252593	Lingulella	4864331			
8485457	Archiinocellia oligoneura Handlirsch, 1910	8485457	Archiinocellia oligoneura Handlirsch, 1910	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Raphidioptera	786	Raphidiidae	6181	Archiinocellia	7790418	Archiinocellia oligoneura	8485457	
9650	Pentatomidae	9650	Pentatomidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pentatomidae	9650					
3252250	Composita Brown, 1845	3252250	Composita Brown, 1845	25	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Spirigerellidae	3252249	Composita	3252250			
7522184	Amphissites centronotus (Ulrich & Bassler, 1906)	7522184	Amphissites centronotus (Ulrich & Bassler, 1906)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Palaeocopida	371	Amphissitidae	4808708	Amphissites	4809271	Amphissites centronotus	7522184	
2318802	Wiwaxia corrugata (Matthew, 1899)	2318802	Wiwaxia corrugata (Matthew, 1899)	68	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256					Wiwaxia	2318801	Wiwaxia corrugata	2318802	
4809704	Knightina Kellett, 1933	4809704	Knightina Kellett, 1933	5	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Palaeocopida	371	Kirkbyidae	4809702	Knightina	4809704			
2683908	Sequoia Endl.	2683908	Sequoia Endl.	13	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Pinopsida	194	Pinales	640	Cupressaceae	8144	Sequoia	2683908			
4825217	Helicoprion Karpinsky, 1899	4825217	Helicoprion Karpinsky, 1899	1	GENUS	ACCEPTED	Animalia	1	Chordata	44					Agassizodontidae	3239214	Helicoprion	4825217			
4865994	Hiscobeccus Amsden, 1983	4865994	Hiscobeccus Amsden, 1983	1	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210	Rhynchonellida	510	Rhynchotrematidae	4865968	Hiscobeccus	4865994			
4887014	Ginkgoites A.C.Seward, 1919	4887014	Ginkgoites A.C.Seward, 1919	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Ginkgoopsida	244	Ginkgoales	418	Ginkgoaceae	3070	Ginkgoites	4887014			
8387440	Favosites Lamarck, 1816	8387440	Favosites Lamarck, 1816	6	GENUS	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206			Favositidae	3250598	Favosites	8387440			
8817842	Oryctocephalus burgessensis (Resser, 1938)	8817842	Oryctocephalus burgessensis (Resser, 1938)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Corynexochida	9556384	Oryctocephalidae	4636642	Oryctocephalites	4636645	Oryctocephalus burgessensis	8817842	
8976192	Nisusia alberta (Walcott, 1889)	9120603	Orthisina alberta (Walcott, 1889)	1	SPECIES	SYNONYM	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Nisusiidae	3251953	Nisusia	4870667	Orthisina alberta	9120603	
3267677	Byronia Matthew, 1899	3267677	Byronia Matthew, 1899	4	GENUS	DOUBTFUL	Animalia	1									Byronia	3267677			
4636594	Klotziella Raymond, 1928	4636594	Klotziella Raymond, 1928	1	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Trilobita	9273948	Corynexochida	9556384	Dolichometopidae	3266678	Klotziella	4636594			
8548848	Totoralia reticulata Morris & Peel, 2013	8548848	Totoralia reticulata Morris & Peel, 2013	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Monoplacophora	347	Cyrtonellida	11128168	Cyrtolitidae	3246211	Totoralia	8650909	Totoralia reticulata	8548848	
8589434	Leptomitella incepta Rigby & Collins, 2004	8589434	Leptomitella incepta Rigby & Collins, 2004	1	SPECIES	ACCEPTED	Animalia	1	Porifera	105					Leptomitidae	3251525	Leptomitella	4582537	Leptomitella incepta	8589434	
2287271	Astarte J.Sowerby, 1816	2287271	Astarte J.Sowerby, 1816	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Carditida	9280416	Astartidae	6859	Astarte	2287271			
2287865	Arctica Schumacher, 1817	2287865	Arctica Schumacher, 1817	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Arcticidae	6860	Arctica	2287865			
4639509	Ptychagnostus Jaekel, 1909	4639509	Ptychagnostus Jaekel, 1909	46	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Agnostida	9538015	Ptychagnostidae	4639507	Ptychagnostus	4639509			
4980139	Taleastroma steleforme Stearn, 1975	4980139	Taleastroma steleforme Stearn, 1975	1	SPECIES	ACCEPTED	Animalia	1	Porifera	105					Stromatoporidae	4580268	Taleastroma	4580082	Taleastroma steleforme	4980139	
8444258	Symphysurina spicata Ulrich, 1925	8444258	Symphysurina spicata Ulrich, 1925	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Asaphida	9573072	Nileidae	3267154	Symphysurina	4635801	Symphysurina spicata	8444258	
